name,variables,records,size_in_mb
lr1986ir,1742,5239,12
lr1986kr,2143,3215,9
lr1986br,2132,17264,49
lr2007ir,6727,7092,65
lr2007kr,7658,5799,61
lr2007mr,826,6009,7
lr2007pr,331,34670,21
lr2007br,7658,22123,234
lr2013ir,9038,9239,111
lr2013kr,9998,7606,102
lr2013mr,901,4118,5
lr2013pr,382,48219,35
lr2013br,9998,30804,414
eg1988ir,3702,8911,49
eg1988kr,4057,8647,51
eg1988br,3949,35519,201
eg1992ir,4719,9864,85
eg1992kr,5092,8764,79
eg1992br,4898,38076,330
eg1992pr,409,61750,107
eg1995ir,5299,14779,131
eg1995kr,5632,12135,113
eg1995br,5588,56381,513
eg1995pr,407,89014,156
eg2000ir,8598,15573,231
eg2000kr,9064,11467,179
eg2000br,8852,54780,832
eg2000pr,662,91173,239
eg2003ir,6786,9159,95
eg2003kr,8051,6661,82
eg2003br,7926,30298,369
eg2003pr,241,52945,28
eg2005ir,11089,19474,347
eg2005kr,12229,13851,267
eg2005br,11903,61455,1151
eg2005pr,1041,112710,344
eg2008ir,10099,16527,281
eg2008kr,10888,10872,198
eg2008br,10561,48619,858
eg2008pr,771,92120,233
eg2014kr,9318,15848,233
eg2014br,9047,59266,840
eg2014pr,839,120276,312
eg2014ir,8582,21762,297
gh1988ir,2409,4488,16
gh1988kr,2655,4136,16
gh1988br,2509,14216,52
gh1993ir,4767,4562,35
gh1993mr,1792,10000,22
gh1993kr,5136,2204,18
gh1993br,4919,13298,105
gh1993pr,436,22139,41
gh1998ir,5506,4843,43
gh1998pr,421,22652,42
gh1998mr,1247,1546,2
gh1998kr,6041,4136,40
gh1998br,5812,13188,122
gh2003ir,8541,5691,74
gh2003mr,4191,10000,54
gh2003kr,9191,3844,53
gh2003br,8830,15086,200
gh2003pr,773,26601,75
gh2008ir,7884,4916,61
gh2008mr,2816,10000,41
gh2008kr,8567,2992,40
gh2008br,8222,11888,153
gh2008pr,861,46536,136
gh2014ir,8718,9396,130
gh2014kr,9689,5884,89
gh2014mr,3669,10000,53
gh2014br,9355,23118,336
gh2014pr,1006,43945,140
gn1999ir,6450,6753,70
gn1999mr,1689,10000,21
gn1999kr,6880,5834,63
gn1999br,6776,22943,245
gn1999pr,475,34418,77
gn2005ir,7493,7954,98
gn2005mr,3748,10000,52
gn2005kr,8384,6364,86
gn2005br,8022,27115,349
gn2005pr,704,38182,105
gn2012ir,10614,9142,146
gn2012mr,5256,10000,81
gn2012kr,11283,7039,118
gn2012br,11013,27683,453
gn2012pr,986,45049,140
jo1990ir,4355,6461,44
jo1990kr,4645,8364,60
jo1990br,4445,32812,221
