name,variables,records,size_in_mb
cps1962_03s,351,102847,40
cps1963_03s,420,80531,40
cps1964_03s,428,77981,42
cps1965_03s,425,78102,40
cps1966_03s,427,158150,81
cps1967_03s,430,97600,50
cps1968_03s,486,197442,137
cps1969_03s,498,199363,141
cps1970_03s,499,190897,135
cps1971_03s,506,193264,138
cps1972_03s,490,185844,132
cps1973_03s,490,181120,128
cps1974_03s,486,178134,126
cps1975_03s,486,174289,123
cps1976_02b,549,142555,104
cps1976_04s,537,153643,111
cps1976_05s,551,153871,109
cps1976_06s,568,154229,116
cps1976_07b,549,143485,105
cps1976_08b,547,143509,102
cps1976_09b,548,144334,104
cps1976_10s,572,193048,141
cps1976_11s,542,154744,111
cps1976_12b,545,145721,101
cps1976_03b,550,142050,102
cps1976_03s,577,181719,152
cps1976_01s,525,152937,111
cps1977_01s,523,182396,130
cps1977_02b,546,144947,101
cps1977_04b,544,145141,99
cps1977_03b,546,144130,100
cps1977_05s,561,165468,113
cps1977_06s,617,165251,130
cps1977_07b,544,144940,99
cps1977_08s,542,182398,116
cps1977_09b,544,145354,99
cps1977_10s,559,216570,165
cps1977_11b,544,146416,100
cps1977_12s,597,183000,147
cps1977_03s,585,229090,216
cps1978_03b,549,166591,121
cps1978_01s,563,182325,130
cps1978_02b,548,168554,122
cps1978_04b,548,180062,124
cps1978_05s,1467,179340,297
cps1978_06b,548,179603,124
cps1978_07b,548,180039,124
cps1978_08b,548,180828,125
cps1978_09s,587,181676,139
cps1978_10s,619,183260,147
cps1978_11s,586,183188,144
cps1978_12b,548,182778,126
cps1978_03s,586,223606,210
cps1979_03b,548,179609,123
cps1979_01b,547,181985,125
cps1979_03s,590,223048,209
cps1979_02b,547,181401,125
cps1979_04b,547,180783,124
cps1979_05s,767,180513,172
cps1979_06s,621,181016,158
cps1979_07b,547,181761,125
cps1979_08b,547,181575,125
cps1979_09s,604,182404,139
cps1979_10s,618,182249,159
cps1979_11s,614,181653,156
cps1979_12s,672,182682,172
cps1980_03b,549,196553,142
cps1980_03s,639,261956,257
cps1980_01b,548,197715,143
cps1980_02b,548,198341,143
cps1980_04b,548,198741,144
cps1980_05s,607,198704,160
cps1980_06s,839,197904,229
cps1980_07b,548,198386,143
cps1980_08b,548,196688,142
cps1980_09s,603,198565,159
cps1980_10s,587,199145,183
cps1980_11s,584,199920,156
cps1980_12b,548,198452,143
cps1981_03b,549,196460,142
cps1981_03s,633,262809,270
cps1981_01s,548,198963,144
cps1981_02b,548,198721,143
cps1981_04b,548,198164,143
cps1981_05s,711,180544,167
cps1981_06s,644,180145,166
cps1981_07b,548,180642,130
cps1981_08b,548,180299,130
cps1981_09s,601,180614,153
cps1981_10s,612,181227,166
cps1981_11b,548,181602,131
cps1981_12s,787,180541,201
cps1982_03b,720,223597,207
cps1982_03s,662,236071,245
cps1982_01b,721,227068,212
cps1982_02b,719,226040,210
cps1982_04b,721,225968,210
cps1982_05b,719,227057,211
cps1982_06s,794,227082,234
cps1982_07b,721,227681,212
cps1982_08b,719,226593,211
cps1982_09s,751,226834,229
cps1982_10s,783,226901,238
cps1982_11s,737,227152,234
cps1982_12b,719,226345,211
