name,variables,records,size_in_mb
eg1988ir,3702,8911,49
eg1988kr,4057,8647,51
eg1988br,3948,35519,201
eg1992ir,4719,9864,85
eg1992kr,5092,8764,79
eg1992br,4897,38076,330
eg1992pr,409,61750,107
eg1995ir,5299,14779,131
eg1995kr,5632,12135,113
eg1995br,5587,56381,513
eg1995pr,407,89014,156
eg2000ir,8598,15573,231
eg2000kr,9064,11467,179
eg2000br,8851,54780,832
eg2000pr,662,91173,239
eg2005ir,11089,19474,347
eg2005kr,12229,13851,267
eg2005br,11902,61455,1151
eg2005pr,744,112710,283
eg2008ir,10099,16527,281
eg2008kr,10888,10872,198
eg2008br,10560,48619,858
eg2008pr,771,92120,233
eg2014ir,8582,21762,297
eg2014kr,9318,15848,233
eg2014br,9046,59266,840
eg2014pr,839,120276,312
gh1988ir,2409,4488,16
gh1988kr,2655,4136,16
gh1988br,2508,14216,52
gh1993ir,4767,4562,35
gh1993kr,5136,2204,18
gh1993br,4918,13298,105
gh1993pr,436,22139,41
gh1998ir,5506,4843,43
gh1998pr,421,22652,42
gh1998kr,6041,4136,40
gh1998br,5811,13188,122
gh2003ir,8541,5691,74
gh2003kr,9191,3844,53
gh2003br,8829,15086,200
gh2003pr,773,26601,75
gh2008ir,7884,4916,61
gh2008kr,8567,2992,40
gh2008br,8221,11888,153
gh2008pr,861,46536,136
gh2014ir,8701,9396,129
gh2014kr,9680,5884,88
gh2014br,9355,23118,336
gh2014pr,1006,43945,140
gn1999ir,6449,6753,70
gn1999kr,6880,5834,63
gn1999br,6775,22943,245
gn1999pr,475,34418,77
gn2005ir,7491,7954,98
gn2005kr,8384,6364,86
gn2005br,8021,27115,349
gn2005pr,704,38182,105
gn2012ir,10612,9142,146
gn2012kr,11283,7039,118
gn2012br,11012,27683,453
gn2012pr,986,45049,140
ke1989ir,2974,7150,31
ke1989kr,3111,6980,30
ke1989br,3003,25173,105
ke1993ir,3956,7540,44
ke1993kr,4194,6115,38
ke1993br,3984,23899,138
ke1993pr,172,38865,17
ke1998ir,4452,7881,54
ke1998kr,4786,3531,26
ke1998br,4576,23351,165
ke1998pr,168,37705,17
ke2003ir,7572,8195,101
ke2003kr,8167,5949,77
ke2003br,7862,22074,276
ke2003pr,689,37612,102
ke2008ir,8377,8444,112
ke2008kr,9022,6079,86
ke2008br,8698,22534,307
ke2008pr,845,38515,112
ke2014ir,8887,31079,428
