name,variables,records,size_in_mb
ses1993c,496,67855,81
ses1993d,525,39494,50
ses1993r,553,19372,25
ses1995c,529,52948,66
ses1995d,536,35370,44
ses1995r,554,16298,21
ses1997c,681,54083,85
ses1997d,718,35667,59
ses1997r,672,10435,16
ses1999c,515,45944,57
ses1999d,541,31318,40
ses1999r,539,9954,12
sta2001d,406,31366,30
ses2003c,326,61636,49
ses2003d,326,29915,24
ses2003r,326,10799,8
sta2003d,369,29915,26
ses2006c,252,56791,37
ses2006d,252,30817,20
ses2006r,252,17456,11
sta2006d,349,30817,27
ses2008c,253,58399,38
ses2008d,252,29974,19
ses2008r,252,11940,7
sta2008d,282,29974,21
ses2010c,311,64601,50
ses2010d,310,31462,24
ses2010r,310,12274,9
sta2010d,351,31462,26
sta2010i,324,2904,2
sta2013d,351,30696,26
sta2013i,318,3477,2
ses2013d,367,30696,26
ses2013c,716,84456,142
