name,variables,records,size_in_mb
ar1970a,217,596620,172
ar1980a,252,3339776,926
ar1991a,252,5486098,1499
ar2001a,312,4666955,1539
ar2010a,182,5183411,985
by1999a,294,1376214,448
by2009a,168,1327914,284
br1960a,217,3614712,1007
br1970a,232,5975966,1796
br1980a,309,7213844,3444
br1991a,446,10535016,6606
br2000a,618,12788378,9875
br2010a,776,12600336,11806
kh1998a,224,1364767,400
kh2008a,308,1629683,586
cl1960a,199,176368,38
cl1970a,363,1089522,360
cl1982a,308,1415418,424
cl1992a,337,1709019,550
cl2002a,363,2000029,704
cn1982a,171,12467849,2663
cn1990a,189,14988765,3692
cn2000a,140,15404349,3156
co1964a,132,699304,137
co1973a,274,2338684,767
co1985a,236,3214171,889
co1993a,274,3987978,1335
co2005a,669,5060980,3460
cr1963a,207,164690,39
cr1973a,275,223085,64
cr1984a,319,297406,90
cr2000a,345,488473,168
cr2011a,240,554775,133
ec1962a,177,272886,59
ec1974a,244,794580,226
ec1982a,255,1002235,296
ec1990a,297,1210132,386
ec2001a,339,1567947,581
ec2010a,479,1835177,998
fr1962a,210,3069818,808
fr1968a,321,3303477,994
fr1975a,311,3545080,1082
fr1982a,315,3601345,1122
fr1990a,313,3310747,1046
fr1999a,272,4154081,1264
fr2006a,326,28722401,10781
fr2011a,198,29996782,7570
gr1971a,243,1094833,310
gr1981a,217,1217431,342
gr1991a,276,1272262,443
gr2001a,291,1396322,579
gr2011a,173,1470071,364
hu1970a,200,687950,144
hu1980a,226,747362,170
hu1990a,265,737629,189
hu2001a,246,737754,186
hu2011a,139,705736,126
il1972a,309,404798,133
il1983a,332,528084,191
il1995a,305,733777,240
ke1969a,174,808991,199
ke1979a,163,2067538,456
ke1989a,236,1298959,416
ke1999a,286,1724653,646
ke2009a,376,4737165,1875
mx1960a,170,1005600,227
mx1970a,241,566261,170
mx1990a,248,9766522,3400
mx1995a,340,404338,165
mx2000a,443,12411217,7105
mx2005a,210,12831535,2579
mx2010a,459,14842042,8283
mx2015a,274,14271561,4348
ps1997a,260,299944,74
ps2007a,292,268522,68
ph1990a,307,7170039,2454
ph1995a,176,8226948,1745
ph2000a,308,8929700,2804
ph2010a,193,11478080,2646
pt1981a,280,671698,218
pt1991a,280,705910,250
pt2001a,295,775869,279
pt2011a,172,732389,179
ro1977a,305,2556925,773
ro1992a,323,2967424,1036
ro2002a,420,2869983,1226
ro2011a,175,2738832,644
rw1991a,254,895959,264
rw2002a,341,1035111,375
rw2012a,211,1280830,317
za1996a,334,4614965,1741
za2001a,572,4717198,2810
za2007a,704,1392827,1113
za2011a,269,5744948,1795
es1981a,187,4168442,1062
es1991a,321,2523734,1018
es2001a,367,2753747,1195
es2011a,245,5729108,1867
ug1991a,303,1887626,615
ug2002a,641,3026720,1832
us1850a,214,23693152,12071
us1850b,197,234918,94
us1860a,200,328920,133
us1870a,206,463706,190
us1880a,242,60564242,38857
us1880b,235,7119040,4847
us1900a,240,4724697,3023
us1910a,281,1141187,657
us1960a,447,2379100,1401
us1970a,575,2774141,1814
us1980a,714,16054461,11627
us1990a,661,18028452,14266
us2000a,740,20265904,18536
us2005a,818,4123626,4436
us2010a,1383,4459481,11003
us2015a,608,4643683,4582
ve1971a,297,1442863,395
ve1981a,293,1764587,551
ve1990a,346,2272761,778
ve2001a,408,2952569,1321
vn1989a,261,3161208,905
vn1999a,311,2902306,1044
vn2009a,322,17869632,6244
tz1988a,257,2783040,952
tz2002a,311,4574503,1751
tz2012a,279,5448798,1489
at1971a,245,1014549,278
at1981a,306,1040249,334
at1991a,340,1090611,402
at2001a,371,1144506,455
at2011a,106,1214737,179
ca1852a,128,287166,172
ca1871a,69,73602,21
ca1881a,86,5077624,1981
ca1891a,172,507012,271
ca1901a,116,317468,127
ca1911a,183,449370,281
ca1971a,225,428038,108
ca1981a,321,973750,369
ca1991a,347,1619308,652
ca2001a,388,1602110,683
ca2011a,153,1295756,342
eg1986a,167,8200493,1737
eg1996a,340,7173030,2480
eg2006a,325,9022848,2977
gh1984a,78,1578423,203
gh2000a,312,2291230,751
gh2010a,345,3036523,988
iq1997a,326,2209680,925
my1970a,265,214003,63
my1980a,320,220650,77
my1991a,309,426084,145
my2000a,330,530864,177
nl1960a,81,286502,33
nl1971a,86,318406,38
nl2001a,93,379450,50
nl2011a,54,829346,77
pa1960a,256,65422,19
pa1970a,231,182228,54
pa1980a,335,243303,95
pa1990a,384,294195,116
pa2000a,426,368427,172
pa2010a,489,436697,249
uk1851a,163,21442582,16766
uk1851b,143,3506741,1738
uk1851c,140,482151,410
uk1861a,170,23984843,19807
uk1861b,160,3684762,2289
uk1871b,145,4093352,2372
uk1881a,159,31527541,17014
uk1881b,155,4516789,2889
uk1891a,172,36009899,30311
uk1891b,163,4893013,3365
uk1901a,169,39528955,33241
uk1901b,160,5393777,3729
uk1911a,152,44406686,18094
uk1991a,264,757655,264
uk2001a,429,3687050,1191
am2001a,253,408489,108
am2011a,170,378149,85
bo1976a,254,583077,175
bo1992a,298,820294,291
bo2001a,465,1067167,741
gn1983a,210,568614,132
gn1996a,278,837864,269
in1983a,366,744341,326
in1987a,349,796908,331
in1993a,420,680149,312
in1999a,367,717266,342
in2004a,246,727513,226
in2009a,206,560741,136
it2001a,356,4158784,1422
it2011a,207,4212873,924
jo2004a,390,607989,197
kg1999a,321,587171,226
kg2009a,277,689811,271
mn1989a,238,233414,53
mn2000a,248,299520,88
si2002a,244,243269,64
ch1970a,305,421571,134
ch1980a,313,444980,146
ch1990a,309,490744,158
ch2000a,376,529263,236
cu2002a,216,1490645,398
lc1980a,227,14125,3
lc1991a,349,16776,6
ml1987a,296,921899,290
ml1998a,298,1153210,409
ml2009a,334,1687690,660
pe1993a,335,2771189,972
pe2007a,346,3567570,1415
pk1973a,200,1775463,495
pk1981a,97,16866116,2561
pk1998a,187,15060015,2581
pr1970a,587,34672,20
pr1980a,699,211066,147
pr1990a,687,239353,175
pr2000a,723,263087,226
pr2005a,851,49823,54
pr2010a,449,52785,28
sn1988a,276,780103,244
sn2002a,405,1102561,463
th1970a,294,917874,292
th1980a,311,464330,156
th1990a,342,603234,217
th2000a,272,769936,260
de1819a,54,82914,37
de1970a,328,6189690,2046
de1971a,285,5658968,1506
de1981a,307,6004554,1668
de1987a,362,4509120,1391
ir2006a,398,1626072,678
ir2011a,148,1906593,415
ie1971a,205,380163,96
ie1979a,110,436139,60
ie1981a,224,446181,124
ie1986a,182,462298,115
ie1991a,230,465298,132
ie1996a,191,488183,125
ie2002a,238,550728,166
ie2006a,246,598076,189
ie2011a,289,650186,223
jm1982a,310,278193,100
jm1991a,381,294916,117
jm2001a,513,269496,148
mw1987a,349,984939,318
mw1998a,325,1220398,382
mw2008a,464,1640584,802
sl2004a,396,576816,221
sd2008a,729,5989346,3519
sv1992a,345,636455,239
sv2007a,455,746376,389
id1971a,243,761044,201
id1976a,450,335996,159
id1980a,448,8740470,4443
id1985a,340,732824,269
id1990a,424,1114001,559
id1995a,400,884870,428
id2000a,173,25237510,6142
id2005a,425,1357624,630
id2010a,323,29754213,11846
ma1982a,255,1184557,324
ma1994a,254,1516109,452
ma2004a,334,1807295,678
ni1971a,265,225532,68
ni1995a,298,518543,202
ni2005a,441,634824,282
tr1985a,207,3141237,749
tr1990a,201,3528073,852
tr2000a,224,4379083,1137
uy1963a,257,335574,99
uy1975a,262,375929,114
uy1985a,320,401676,131
uy1996a,358,433987,167
uy2006a,1274,342182,499
uy2011a,402,446923,197
