name,variables,records,size_in_mb
us1965a,322,2021,1
us1975a,328,4584,3
us1985a,325,2921,2
us1993a,316,7514,5
us1995a,318,1199,0
us1998a,324,2351,1
us2003a,333,19759,16
us2004a,333,13318,11
us2005a,333,12419,10
us2006a,334,12200,10
us2007a,334,11606,9
us2008a,334,12108,10
us2009a,333,12568,10
us2010a,333,12679,10
us2011a,333,11978,10
us2012a,333,11975,10
uk1974a,321,0,0
uk1983a,336,0,0
uk1987a,335,0,0
uk1995a,314,0,0
uk2000a,339,20980,17
uk2005a,321,0,0
uk2014a,95,0,0
nl1975a,321,0,0
nl1980a,322,0,0
nl1985a,323,0,0
nl1990a,321,0,0
nl1995a,327,0,0
nl2000a,331,0,0
nl2005a,330,0,0
sp2002a,347,46774,38
sp2009a,345,0,0
fr1985a,89,0,0
fr1998a,89,0,0
fr2009a,79,0,0
at1992a,88,0,0
fi1979a,72,0,0
fi2009a,87,0,0
ca2010a,87,0,0
bg2001a,86,0,0
hu1999a,76,0,0
hu2009a,83,0,0
il1991a,88,0,0
it2002a,84,0,0
za2000a,78,0,0
