name,variables,records,size_in_mb
ih1963,384,181759,49
ih1964,767,172463,77
ih1965,667,184124,74
ih1966,611,180588,75
ih1967,648,183062,64
ih1968,565,174749,46
ih1969,1373,175685,220
ih1970,1152,155477,175
ih1971,945,179924,199
ih1972,950,179040,185
ih1973,1258,162628,110
ih1974,1802,157601,371
ih1975,1589,157938,361
ih1976,1757,154737,438
ih1977,2109,152556,463
ih1978,1793,151104,375
ih1979,1704,152413,377
ih1980,1819,141855,365
ih1981,2129,148745,455
ih1982,1173,143911,201
ih1983,1783,146532,295
ih1984,2090,146761,319
ih1985,2045,127930,346
ih1986,2070,86750,204
ih1987,4411,172428,936
ih1988,6906,172371,1161
ih1989,4364,164983,871
ih1990,3688,168311,879
ih1991,4911,168885,1064
ih1992,5291,180055,1234
ih1993,3052,154649,617
ih1994,9556,164763,1707
ih1995,9397,144291,1555
ih1996,2369,89392,282
ih1997,3451,146847,575
ih1998,4547,141225,715
ih1999,4303,139941,653
ih2000,5655,144055,897
ih2001,3908,144557,614
ih2002,7373,133763,1008
ih2003,4050,132414,574
ih2004,3124,136549,413
ih2005,4688,143189,656
ih2006,3177,109184,337
ih2007,11550,109379,1232
ih2008,4226,108147,420
ih2009,3249,129623,403
ih2010,5527,133184,745
ih2011,3895,150075,544
ih2012,8803,162734,1178
ih2013,4067,159132,581
ih2014,3892,172400,600
ih2015,5005,162959,725
ih2016,3921,156399,528
ih2017,3632,127199,390
