name,variables,records,size_in_mb
bf2014a_hh,1045,9993,46
bf2014a_sp,739,107,0
bf2015a_hh,1111,9784,48
bf2015a_sp,746,107,0
bf2016a_hh,1171,14918,76
bf2016b_hh,1347,15151,89
bf2016a_sp,815,134,0
bf2016b_sp,784,133,0
bf2017a_sp,664,133,0
ci2017a_hh,1151,12659,62
ci2017a_sp,920,146,0
et2014a_hh,1061,28538,137
et2014b_hh,1056,28035,135
et2014a_sp,669,397,1
et2014b_sp,670,407,1
et2015a_hh,1048,31339,150
et2015a_sp,684,451,1
et2016a_hh,1189,31563,163
et2016a_sp,685,461,1
et2017a_hh,1253,31264,168
et2017a_sp,659,452,1
gh2013a_hh,949,16496,68
gh2013a_sp,674,143,0
gh2014a_hh,1030,15996,76
gh2014b_hh,1276,16995,100
gh2014a_sp,724,132,0
gh2014b_sp,730,241,0
gh2015a_hh,1245,18212,100
gh2015a_sp,749,239,0
gh2016a_hh,1428,15733,106
gh2016a_sp,1167,169,0
in2016a_hh,1087,23941,123
in2016a_sp,703,308,1
in2017a_hh,1280,25290,139
in2017a_sp,763,619,2
in2017b_sp,715,653,2
ke2014a_hh,1057,18870,93
ke2014b_hh,1032,20318,94
ke2014a_sp,742,277,0
ke2014b_sp,737,354,1
ke2015a_hh,1170,19729,104
ke2015b_hh,1135,20516,104
ke2015a_sp,751,358,1
ke2015b_sp,748,358,1
ke2016a_hh,1389,26018,172
ke2016a_sp,716,428,1
ke2017a_sp,609,428,1
ne2015a_hh,1032,6270,28
ne2015a_sp,809,33,0
ne2016a_hh,1130,15927,78
ne2016b_hh,1127,6386,31
ne2016a_sp,886,135,0
ne2016b_sp,804,31,0
ne2017a_hh,1195,15839,79
ne2017a_sp,883,132,0
ng2014a_hh,1044,11591,54
ng2014b_hh,990,3879,16
ng2014a_sp,709,137,0
ng2014b_sp,694,94,0
ng2015a_hh,1149,12662,66
ng2015b_hh,1112,6900,33
ng2015a_sp,717,153,0
ng2015b_sp,710,132,0
ng2016a_hh,1254,51292,337
ng2016a_sp,727,693,2
ng2017a_hh,1366,51023,339
ng2017a_sp,737,765,2
ug2014a_hh,1084,19620,100
ug2015a_hh,1090,18780,94
ug2015b_hh,1152,18403,96
ug2015a_sp,752,369,1
ug2015b_sp,764,378,1
ug2016a_hh,1251,20252,115
ug2016a_sp,765,380,1
ug2017a_hh,1234,20696,113
ug2017a_sp,778,348,1
cd2013a_hh,783,10087,34
cd2014a_hh,1027,11228,48
cd2014a_sp,682,257,0
cd2015a_hh,1190,10722,55
cd2015b_hh,1162,10820,55
cd2015c_hh,1164,7351,38
cd2015a_sp,730,254,0
cd2015b_sp,740,239,0
cd2015c_sp,737,122,0
cd2016a_hh,1207,10456,54
cd2016b_hh,1211,7719,40
cd2016a_sp,739,183,0
cd2016b_sp,738,105,0
cd2017a_sp,705,182,0
cd2017b_sp,705,117,0
id2015a_hh,1139,48073,247
id2015a_sp,704,931,3
id2016a_hh,1361,47102,283
id2016a_sp,697,992,2
