name,variables,records,size_in_mb
us1850c,117,23687695,4574
us1850a,191,234918,85
us1860a,198,328920,122
us1860b,198,338343,127
us1870a,207,463706,178
us1870b,205,535793,205
us1880d,202,7119040,4381
us1880e,174,60564242,31353
us1880a,200,609957,231
us1900j,196,4724849,2373
us1900k,255,933099,459
us1900l,255,1044746,512
us1900m,135,92891204,18182
us1910h,187,165981,45
us1910k,252,1141187,513
us1910l,269,1865932,957
us1910m,141,170897765,36078
us1920a,220,1311136,590
us1920b,180,192441,53
us1920c,170,131573294,32331
us1930a,223,1532281,941
us1930b,223,7699204,4731
us1930c,136,91807,43
us1930d,144,154448653,32444
us1940a,439,1742766,1627
us1940b,189,169684581,46694
us1950a,405,2383328,1220
us1960a,342,2379100,923
us1960b,483,12116074,5535
us1970a,537,2775387,1356
us1970b,505,2774062,1344
us1970c,538,2775264,1369
us1970d,508,2774141,1369
us1970e,646,2775695,1521
us1970f,612,2774204,1511
us1970h,272,34528,10
us1970i,272,34672,10
us1970j,327,34751,11
us1980a,605,16054461,9671
us1980b,604,3209534,1942
us1980c,588,3211221,1849
us1980d,712,3212208,2327
us1980e,341,3213160,1246
us1980f,328,211066,75
us1980g,327,42218,15
us1990a,592,18028452,11864
us1990b,591,3605635,2366
us1990c,590,3565808,2341
us1990d,718,2803491,2252
us1990e,574,1658379,1031
us1990f,332,239353,90
us1990g,333,47950,18
us2000a,679,20265904,16603
us2000b,641,4055526,3020
us2000c,676,4045348,3320
us2000e,371,263087,124
us2000f,521,52762,35
us2000d,618,529604,360
us2000g,644,4055526,3062
us2000h,355,52762,23
us2001a,615,1706985,1154
us2002a,616,1536411,1044
us2003a,612,1710992,1193
us2004a,608,1709184,1179
us2005a,846,4123626,5300
us2005b,513,49823,45
us2006a,842,4313609,5534
us2006b,510,49590,44
us2007a,823,4354947,5419
us2007b,508,48145,43
us2007c,825,12792182,15882
us2007d,511,147558,134
us2008a,930,4373823,5662
us2008b,578,47295,44
us2008c,787,13042379,15510
us2008d,727,145030,180
us2009a,1217,4413243,7867
us2009b,573,46915,44
us2009e,996,21579248,33884
us2009f,489,241768,214
us2009c,766,13142013,15486
us2009d,490,142355,126
us2010a,903,4459481,5752
us2010b,555,52785,48
us2010c,901,13246547,17006
us2010d,560,146995,136
us2010e,772,21915103,26441
us2010f,488,244730,216
us2010g,124,44840248,7005
us2010h,63,539884,54
us2011a,914,4597309,5886
us2011b,561,50527,46
us2011c,909,13470033,17266
us2011d,564,150227,140
us2011e,772,22198803,26777
us2011f,488,245667,216
us2012a,904,4590121,5806
us2012b,550,49811,45
us2012c,1003,13646911,21735
us2012d,556,153123,140
us2012e,915,22433977,29762
us2012f,550,247333,225
us2013a,948,4609108,5872
us2013b,572,49332,44
us2013c,924,13796538,18074
us2013d,558,149670,136
us2013e,910,22669262,29637
us2013f,550,249370,225
us2014a,943,4617274,5836
us2014b,573,47961,43
us2014c,983,22873293,35491
us2014d,550,250416,226
us2015a,942,4643683,5856
us2015b,573,47400,42
us2015c,918,23057495,29963
us2015d,556,245031,221
us2016a,926,4661573,5865
us2016b,561,46584,41
us2016c,887,23121759,28464
us2016d,550,241088,215
us2017a,929,4714660,5920
us2017b,563,33190,29
us2017c,916,23246298,28859
us2017d,552,224467,200
